ip.src	ip.dst	frame.number	_ws.col.Info
192.168.1.50	192.168.1.40	938	'HMI_P_RO_FEED_DUTY' - Service (0x4c)
192.168.1.40	192.168.1.50	987	Success: Service (0x4d)
192.168.1.40	192.168.1.50	988	Success: Service (0x4c)
192.168.1.40	192.168.1.50	989	'HMI_MV501' - Service (0x4c)
192.168.1.40	192.168.1.50	990	Success: Service (0x4c)
192.168.1.40	192.168.1.50	992	'HMI_MV502' - Service (0x4c)
192.168.1.40	192.168.1.50	993	'HMI_MV503' - Service (0x4c)
192.168.1.40	192.168.1.50	994	'HMI_MV504' - Service (0x4c)
192.168.1.50	192.168.1.40	1040	'HMI_RO_HPP_SD' - Service (0x4d)
192.168.1.50	192.168.1.40	1041	'HMI_UV401' - Service (0x4c)
192.168.1.50	192.168.1.40	1042	Connection Manager - Unconnected Send: 'HMI_FIT401' - Service (0x4c)
192.168.1.50	192.168.1.40	1265	Connection Manager - Forward Open ('j')
192.168.1.40	192.168.1.50	1387	Connection Manager - Forward Open ('j')
192.168.1.40	192.168.1.50	1466	[TCP Spurious Retransmission]  | Success: Service (0x4d) | Success: Service (0x4c) | Success: Service (0x4c)
192.168.1.40	192.168.1.50	1473	[TCP Spurious Retransmission]  | Success: Service (0x4d) | Success: Service (0x4c) | Success: Service (0x4c)
192.168.1.50	192.168.1.40	1679	[TCP Spurious Retransmission]  | 'HMI_RO_HPP_SD' - Service (0x4d) | 'HMI_UV401' - Service (0x4c) | Connection Manager - Unconnected Send: 'HMI_FIT401' - Service (0x4c) | Connection Manager - Forward Open ('j')
192.168.1.40	192.168.1.50	2511	[TCP Spurious Retransmission]  | Success: Service (0x4d) | Success: Service (0x4c) | Success: Service (0x4c)
192.168.1.40	192.168.1.50	2512	[TCP ACKed unseen segment] [TCP Spurious Retransmission]  | Success: Service (0x4d) | Success: Service (0x4c) | Success: Service (0x4c)
192.168.1.50	192.168.1.40	2558	[TCP Spurious Retransmission]  | 'HMI_RO_HPP_SD' - Service (0x4d) | 'HMI_UV401' - Service (0x4c) | Connection Manager - Unconnected Send: 'HMI_FIT401' - Service (0x4c) | Connection Manager - Forward Open ('j')
192.168.1.50	192.168.1.40	3060	[TCP Spurious Retransmission]  | Connection Manager - Forward Close (Class (0xa7))
192.168.1.40	192.168.1.50	3214	Connection Manager - Forward Close (Class (0xa7))
192.168.1.40	192.168.1.50	3557	[TCP Spurious Retransmission]  | Success: Service (0x4d) | Success: Service (0x4c) | Success: Service (0x4c)
192.168.1.40	192.168.1.50	3558	[TCP ACKed unseen segment] [TCP Spurious Retransmission]  | Success: Service (0x4d) | Success: Service (0x4c) | Success: Service (0x4c)
192.168.1.50	192.168.1.40	3589	[TCP Spurious Retransmission]  | 'HMI_P_RO_FEED_DUTY' - Service (0x4c)
192.168.1.40	192.168.1.50	3590	'HMI_MV501' - Service (0x4c)
192.168.1.40	192.168.1.50	3591	'HMI_MV502' - Service (0x4c)
192.168.1.40	192.168.1.50	3592	'HMI_MV503' - Service (0x4c)
192.168.1.40	192.168.1.50	3593	'HMI_MV504' - Service (0x4c)
192.168.1.50	192.168.1.40	3594	[TCP Spurious Retransmission]  | 'HMI_RO_HPP_SD' - Service (0x4d)
192.168.1.50	192.168.1.40	3595	[TCP Spurious Retransmission]  | 'HMI_UV401' - Service (0x4c)
