ip.src	ip.dst	frame.number	frame.time_relative
192.168.1.50	192.168.1.40	195	1.043106000
192.168.1.50	192.168.1.40	197	1.043372000
192.168.1.50	192.168.1.40	238	1.064066000
192.168.1.50	192.168.1.40	239	1.064075000
192.168.1.50	192.168.1.40	300	1.103847000
192.168.1.50	192.168.1.40	303	1.103988000
192.168.1.50	192.168.1.40	323	1.108475000
192.168.1.50	192.168.1.40	324	1.108645000
192.168.1.50	192.168.1.40	389	1.142551000
192.168.1.50	192.168.1.40	437	1.164648000
192.168.1.50	192.168.1.40	439	1.164764000
192.168.1.50	192.168.1.40	447	1.169262000
192.168.1.50	192.168.1.40	449	1.169276000
192.168.1.50	192.168.1.40	524	1.194911000
192.168.1.50	192.168.1.40	529	1.199603000
192.168.1.50	192.168.1.40	530	1.199611000
192.168.1.50	192.168.1.40	531	1.199926000
192.168.1.50	192.168.1.40	682	1.234691000
192.168.1.50	192.168.1.40	691	1.235122000
192.168.1.50	192.168.1.40	714	1.239509000
192.168.1.50	192.168.1.40	716	1.239523000
192.168.1.50	192.168.1.40	744	1.245389000
192.168.1.50	192.168.1.40	753	1.250380000
192.168.1.50	192.168.1.40	754	1.250391000
192.168.1.50	192.168.1.40	756	1.250572000
192.168.1.50	192.168.1.40	980	1.290007000
192.168.1.50	192.168.1.40	981	1.290445000
192.168.1.50	192.168.1.40	1025	1.300418000
192.168.1.50	192.168.1.40	1065	1.305165000
192.168.1.50	192.168.1.40	1069	1.305319000
192.168.1.50	192.168.1.40	1071	1.305327000
192.168.1.50	192.168.1.40	1081	1.305765000
192.168.1.50	192.168.1.40	1083	1.305940000
192.168.1.50	192.168.1.40	1116	1.310008000
192.168.1.50	192.168.1.40	1313	1.355619000
192.168.1.50	192.168.1.40	1314	1.355623000
192.168.1.50	192.168.1.40	1359	1.365497000
192.168.1.50	192.168.1.40	1361	1.365508000
192.168.1.50	192.168.1.40	1412	1.371010000
192.168.1.50	192.168.1.40	1413	1.371014000
192.168.1.50	192.168.1.40	1414	1.371283000
192.168.1.50	192.168.1.40	1415	1.371495000
192.168.1.50	192.168.1.40	1550	1.396108000
192.168.1.50	192.168.1.40	1634	1.411193000
192.168.1.50	192.168.1.40	1659	1.416031000
192.168.1.50	192.168.1.40	1671	1.421314000
192.168.1.50	192.168.1.40	1756	1.431772000
192.168.1.50	192.168.1.40	1757	1.431777000
192.168.1.50	192.168.1.40	1758	1.431781000
192.168.1.50	192.168.1.40	1759	1.431920000
192.168.1.50	192.168.1.40	1764	1.435961000
192.168.1.50	192.168.1.40	1885	1.456723000
192.168.1.50	192.168.1.40	1982	1.471607000
192.168.1.50	192.168.1.40	1987	1.477045000
192.168.1.50	192.168.1.40	1988	1.477270000
192.168.1.50	192.168.1.40	2041	1.486502000
192.168.1.50	192.168.1.40	2043	1.486516000
192.168.1.50	192.168.1.40	2046	1.486726000
192.168.1.50	192.168.1.40	2047	1.486731000
192.168.1.50	192.168.1.40	2222	1.511742000
192.168.1.50	192.168.1.40	2227	1.516973000
192.168.1.50	192.168.1.40	2228	1.516978000
192.168.1.50	192.168.1.40	2229	1.517237000
192.168.1.50	192.168.1.40	2360	1.546970000
192.168.1.50	192.168.1.40	2364	1.547204000
192.168.1.50	192.168.1.40	2365	1.547209000
192.168.1.50	192.168.1.40	2366	1.547213000
192.168.1.50	192.168.1.40	2452	1.558407000
192.168.1.50	192.168.1.40	2489	1.562167000
192.168.1.50	192.168.1.40	2578	1.567542000
192.168.1.50	192.168.1.40	2581	1.567702000
192.168.1.50	192.168.1.40	3014	1.623204000
192.168.1.50	192.168.1.40	3016	1.623227000
192.168.1.50	192.168.1.40	3018	1.623370000
